"id";"parent_id";"level";"objectid";"objecttype";"querystatus";"querytime";"querytype";"name";"message";"type";"metadata.type";"talking_about_count";"likes";"likes.count";"shares.count";"comments.count";"created_time";"updated_time"
"7";"1";"1";"242465215866259_1216688975110540";"data";"fetched (200)";"2017-05-03 23:47:16.161000";"Facebook:<user>/posts";"Catálogo de Hipotecas para Particulares";"Acierta al comprar tu nueva casa. Con BBVA Valora podrás saber si te puedes permitir esa vivienda en diferentes escenarios económicos 🏡";"link";"";"";"{""paging"": {""cursors"": {""after"": ""MTAyMDc2MDU1MDE2ODk2ODYZD"", ""before"": ""MTM3NTExNTc5OTIxNDc1OAZDZD""}}, ""data"": [{""id"": ""1375115799214758"", ""name"": ""Angel Casado Garcia""}, {""id"": ""10208846977879840"", ""name"": ""Juan Antonio Sanchez Hernandez""}, {""id"": ""502443133287173"", ""name"": ""Juan Suarez""}, {""id"": ""1847480258611480"", ""name"": ""Joan Ruiz Flori""}, {""id"": ""10155061742203765"", ""name"": ""Miguel Lomas Rodr\u00edguez""}, {""id"": ""10207605501689686"", ""name"": ""Monica Couret Rua""}]}";"";"";"";"2017-04-30T19:30:00+0000";"2017-05-03T07:31:31+0000"
"529";"7";"2";"1216688975110540_1220879578024813";"data";"fetched (200)";"2017-05-03 23:53:28.196000";"Facebook:<video>/comments";"";"Sólo para indicarles que la accesibilidad de su página web a la hora de poder pagar impuestos fácilmente BRILLA POR SU AUSENCIA. Intenten mejorar el tema porque hace más de media hora que estoy intentando realizar la operativa para pagar impuestos locales y no consigo realizarlo. Gracias";"";"";"";"";"";"";"";"2017-05-01T09:16:17+0000";""
"1860";"529";"3";"1216688975110540_1223171617795609";"data";"fetched (200)";"2017-05-03 23:56:35.206000";"Facebook:<video>/comments";"";"Buenos días, Jose. Trasladamos tu comentario al departamento correspondiente. Un saludo";"";"";"";"";"";"";"";"2017-05-03T07:31:31+0000";""
"1861";"529";"3";"1216688975110540_1220879578024813";"offcut";"fetched (200)";"2017-05-03 23:56:35.206000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"530";"7";"2";"1216688975110540_1220880054691432";"data";"fetched (200)";"2017-05-03 23:53:28.196000";"Facebook:<video>/comments";"";"No estaría mal que en el apartado de operaciones existiera algún apartado específico para ello";"";"";"";"";"";"";"";"2017-05-01T09:17:16+0000";""
"531";"7";"2";"242465215866259_1216688975110540";"offcut";"fetched (200)";"2017-05-03 23:53:28.196000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
